student_id,name,department,section,semester,hostel_block,year_of_study
STU0045,Student_45,CSE,A,3,Day Scholar,4
STU0046,Student_46,CE,A,7,H1,2
STU0047,Student_47,CE,A,7,H3,4
STU0048,Student_48,ME,B,7,H2,2
STU0049,Student_49,ME,A,1,H1,3
STU0050,Student_50,CSE,A,7,H2,1
STU0051,Student_51,EE,A,3,H1,1
STU0052,Student_52,ECE,B,1,H2,1
STU0053,Student_53,EE,A,7,H3,3
STU0054,Student_54,ECE,C,5,H2,3
STU0055,Student_55,CE,A,5,Day Scholar,3
STU0056,Student_56,CSE,A,7,H1,1
STU0057,Student_57,EE,A,5,H2,3
STU0058,Student_58,CSE,A,5,H3,2
STU0059,Student_59,CE,C,5,H1,3
STU0060,Student_60,CSE,A,5,H1,1
STU0061,Student_61,EE,A,5,H3,2
STU0062,Student_62,ME,A,5,Day Scholar,3
STU0063,Student_63,CSE,A,7,H3,1
STU0064,Student_64,CSE,B,3,H3,2
STU0065,Student_65,CE,C,7,H1,1
STU0066,Student_66,CSE,C,3,H1,3
STU0067,Student_67,EE,C,3,Day Scholar,2
STU0068,Student_68,CSE,B,5,H1,3
STU0069,Student_69,ECE,C,3,H1,3
STU0070,Student_70,EE,B,3,H2,2
STU0071,Student_71,ECE,B,1,H2,3
STU0072,Student_72,CE,C,3,H3,2
STU0073,Student_73,CSE,B,1,Day Scholar,2
STU0074,Student_74,ECE,B,5,H3,2
STU0075,Student_75,ECE,A,3,Day Scholar,3
STU0076,Student_76,ME,A,5,H3,4
STU0077,Student_77,EE,B,1,H1,3
STU0078,Student_78,ECE,C,5,H1,1
STU0079,Student_79,EE,B,5,H3,4
STU0080,Student_80,EE,C,1,Day Scholar,2
STU0081,Student_81,ME,A,7,H1,2
STU0082,Student_82,ME,B,1,H3,3
STU0083,Student_83,CSE,C,5,H3,4
STU0084,Student_84,ME,B,5,H2,2
STU0085,Student_85,CE,C,7,H2,3
STU0086,Student_86,CE,C,1,H3,3
STU0087,Student_87,ECE,B,5,Day Scholar,4
STU0088,Student_88,CE,C,3,Day Scholar,2
STU0089,Student_89,CSE,B,5,H1,2
STU0090,Student_90,ME,A,3,H2,1
STU0091,Student_91,CSE,A,7,H1,4
STU0092,Student_92,CE,C,3,Day Scholar,4
STU0093,Student_93,CE,A,3,H1,1
STU0094,Student_94,CE,A,3,Day Scholar,1
STU0095,Student_95,EE,A,1,Day Scholar,2
STU0096,Student_96,CE,C,5,Day Scholar,4
STU0097,Student_97,EE,B,3,Day Scholar,4
STU0098,Student_98,ME,A,5,Day Scholar,2
STU0099,Student_99,ME,B,1,H3,2
STU0100,Student_100,ME,B,5,H1,2
STU0101,Student_101,ECE,A,7,H2,2
STU0102,Student_102,CSE,B,7,H3,4
STU0103,Student_103,CE,A,3,Day Scholar,4
STU0104,Student_104,EE,C,1,Day Scholar,4
STU0105,Student_105,CSE,B,5,Day Scholar,4
STU0106,Student_106,EE,C,3,Day Scholar,2
STU0107,Student_107,ME,B,7,H1,4
STU0108,Student_108,ME,C,7,H2,4
STU0109,Student_109,ECE,C,1,Day Scholar,1
STU0110,Student_110,CSE,C,7,H2,4
STU0111,Student_111,ECE,A,5,Day Scholar,3
STU0112,Student_112,ECE,B,5,H3,4
STU0113,Student_113,ME,B,5,H1,4
STU0114,Student_114,CSE,C,1,H3,2
STU0115,Student_115,CSE,C,1,H1,2
STU0116,Student_116,ECE,A,3,H2,2
STU0117,Student_117,CE,C,1,H2,4
STU0118,Student_118,ME,B,3,H1,2
STU0119,Student_119,ME,A,1,H3,4
STU0120,Student_120,CE,C,3,H1,2
STU0121,Student_121,CSE,C,5,H1,1
STU0122,Student_122,ME,C,7,H3,1
STU0123,Student_123,EE,C,5,H1,4
STU0124,Student_124,CE,A,7,H3,4
STU0125,Student_125,ECE,B,3,H3,4
STU0126,Student_126,CE,B,5,H3,2
STU0127,Student_127,CSE,B,7,H2,4
STU0128,Student_128,EE,C,7,H3,1
STU0129,Student_129,CE,B,3,Day Scholar,2
STU0130,Student_130,ME,B,5,H3,3
STU0131,Student_131,EE,A,3,H1,2
STU0132,Student_132,CE,B,3,Day Scholar,4
STU0133,Student_133,CE,A,1,H3,2
STU0134,Student_134,CE,C,3,H3,3
STU0135,Student_135,CE,C,5,Day Scholar,3
STU0136,Student_136,ME,C,7,H3,3
STU0137,Student_137,ME,A,1,H2,3
STU0138,Student_138,CSE,C,3,H2,2
STU0139,Student_139,CE,B,5,H1,2
STU0140,Student_140,ME,A,5,H2,3
STU0141,Student_141,CSE,C,3,H3,1
STU0142,Student_142,CSE,C,5,H2,4
STU0143,Student_143,CSE,A,5,Day Scholar,4
STU0144,Student_144,CE,B,3,H1,3
STU0145,Student_145,CE,A,1,Day Scholar,4
STU0146,Student_146,CSE,C,1,H2,2
STU0147,Student_147,EE,B,1,H2,1
STU0148,Student_148,EE,B,3,Day Scholar,4
STU0149,Student_149,CE,B,7,H3,1
STU0150,Student_150,EE,C,1,H2,2
STU0151,Student_151,ME,C,1,H2,2
STU0152,Student_152,ECE,C,1,H2,1
STU0153,Student_153,CE,B,7,H3,1
STU0154,Student_154,ECE,B,5,Day Scholar,1
STU0155,Student_155,ECE,B,3,Day Scholar,1
STU0156,Student_156,EE,A,3,H3,2
STU0157,Student_157,CSE,A,3,H3,3
STU0158,Student_158,CE,A,7,H3,4
STU0159,Student_159,ME,C,7,Day Scholar,1
STU0160,Student_160,EE,A,7,H3,3
STU0161,Student_161,CSE,A,3,H1,3
STU0162,Student_162,EE,A,3,Day Scholar,4
STU0163,Student_163,ME,A,7,Day Scholar,1
STU0164,Student_164,CE,B,7,H3,3
STU0165,Student_165,CSE,A,5,Day Scholar,4
STU0166,Student_166,ME,C,7,H1,4
STU0167,Student_167,CSE,B,5,H3,1
STU0168,Student_168,CE,C,1,Day Scholar,4
STU0169,Student_169,CSE,A,5,Day Scholar,4
STU0170,Student_170,CSE,A,5,H2,3
STU0171,Student_171,CE,C,7,H1,1
STU0172,Student_172,EE,A,3,H3,1
STU0173,Student_173,EE,B,1,H2,1
STU0174,Student_174,CE,A,3,Day Scholar,3
STU0175,Student_175,EE,C,5,Day Scholar,4
STU0176,Student_176,CE,A,7,H2,4
STU0177,Student_177,ECE,C,3,H1,3
STU0178,Student_178,CE,B,5,H1,3
STU0179,Student_179,ME,C,7,H2,4
STU0180,Student_180,EE,B,5,H3,4
STU0181,Student_181,CE,B,3,H2,4
STU0182,Student_182,ECE,B,1,H3,4
STU0183,Student_183,CE,B,3,Day Scholar,1
STU0184,Student_184,ECE,C,5,H1,4
STU0185,Student_185,CSE,C,7,H1,2
STU0186,Student_186,CE,C,3,H1,4
STU0187,Student_187,ME,B,7,H1,3
STU0188,Student_188,EE,B,5,Day Scholar,1
STU0189,Student_189,EE,A,3,H3,2
STU0190,Student_190,CSE,B,1,H1,4
STU0191,Student_191,ECE,C,5,H1,1
STU0192,Student_192,ME,A,5,H3,3
STU0193,Student_193,CE,A,3,Day Scholar,2
STU0194,Student_194,ECE,A,1,Day Scholar,2
STU0195,Student_195,CE,C,3,H2,4
STU0196,Student_196,ME,B,5,H1,4
STU0197,Student_197,ME,C,3,H1,4
STU0198,Student_198,ME,C,5,Day Scholar,3
STU0199,Student_199,CE,B,3,Day Scholar,4
STU0200,Student_200,CSE,A,7,H3,3
STU0201,Student_201,ME,A,7,H3,1
STU0202,Student_202,EE,C,1,Day Scholar,3
STU0203,Student_203,ECE,C,5,H2,2
STU0204,Student_204,EE,B,3,H1,1
STU0205,Student_205,ME,B,1,H3,2
STU0206,Student_206,CSE,B,5,Day Scholar,2
STU0207,Student_207,ECE,A,5,H3,2
STU0208,Student_208,ME,B,5,H3,1
STU0209,Student_209,CE,A,3,H2,4
STU0210,Student_210,EE,B,1,Day Scholar,1
STU0211,Student_211,ME,C,1,Day Scholar,3
STU0212,Student_212,ME,C,7,H3,1
STU0213,Student_213,ECE,B,1,H3,2
STU0214,Student_214,CSE,C,7,H3,4
STU0215,Student_215,CSE,A,1,H1,3
STU0216,Student_216,CE,A,1,H2,2
STU0217,Student_217,CE,B,5,Day Scholar,2
STU0218,Student_218,CE,C,1,Day Scholar,4
STU0219,Student_219,ME,A,5,H2,4
STU0220,Student_220,CE,A,5,H1,3
STU0221,Student_221,EE,C,5,H1,4
STU0222,Student_222,ME,A,1,Day Scholar,1
STU0223,Student_223,ECE,C,1,H1,3
STU0224,Student_224,ECE,A,3,H1,2
STU0225,Student_225,EE,A,3,H3,2
STU0226,Student_226,EE,A,5,H2,2
STU0227,Student_227,EE,B,3,H1,1
STU0228,Student_228,ECE,A,5,H2,3
STU0229,Student_229,CSE,A,5,H1,2
STU0230,Student_230,CE,C,1,H1,4
STU0231,Student_231,CE,B,1,Day Scholar,2
STU0232,Student_232,EE,A,5,Day Scholar,1
STU0233,Student_233,CSE,B,7,Day Scholar,1
STU0234,Student_234,CE,C,7,H1,1
STU0235,Student_235,ME,C,3,H1,2
STU0236,Student_236,ME,C,5,Day Scholar,3
STU0237,Student_237,CE,C,7,H1,1
STU0238,Student_238,EE,C,3,Day Scholar,4
STU0239,Student_239,ECE,B,5,Day Scholar,4
STU0240,Student_240,CE,C,1,H3,4
STU0241,Student_241,ME,C,5,H3,2
STU0242,Student_242,CE,A,1,H1,1
STU0243,Student_243,CE,A,5,H2,1
STU0244,Student_244,EE,C,5,H1,4
STU0245,Student_245,ME,C,7,H1,3
STU0246,Student_246,EE,B,5,H1,2
STU0247,Student_247,ECE,C,7,H2,1
STU0248,Student_248,ME,C,5,H1,3
STU0249,Student_249,EE,A,7,H1,3
STU0250,Student_250,CSE,A,5,H3,3
STU0251,Student_251,ME,A,3,H2,4
STU0252,Student_252,CSE,A,1,H1,2
STU0253,Student_253,CE,B,7,H3,2
STU0254,Student_254,ME,B,5,H1,1
STU0255,Student_255,ECE,A,1,H1,3
STU0256,Student_256,CE,C,7,Day Scholar,4
STU0257,Student_257,CE,B,3,H1,3
STU0258,Student_258,CE,A,5,Day Scholar,3
STU0259,Student_259,CSE,A,7,H1,1
STU0260,Student_260,ECE,B,3,H2,3
STU0261,Student_261,ME,B,1,H1,4
STU0262,Student_262,CE,A,3,Day Scholar,2
STU0263,Student_263,EE,C,5,H1,4
STU0264,Student_264,CSE,B,1,Day Scholar,1
STU0265,Student_265,ME,C,7,Day Scholar,4
STU0266,Student_266,ME,A,7,H1,3
STU0267,Student_267,ECE,C,7,H3,1
STU0268,Student_268,CE,A,3,Day Scholar,4
STU0269,Student_269,EE,A,7,H3,3
STU0270,Student_270,ECE,B,3,H1,1
STU0271,Student_271,EE,C,3,H3,3
STU0272,Student_272,ECE,A,1,H2,3
STU0273,Student_273,ECE,A,3,H1,2
STU0274,Student_274,CE,B,7,H3,3
STU0275,Student_275,ECE,B,1,Day Scholar,4
STU0276,Student_276,ME,B,1,H3,1
STU0277,Student_277,ME,B,7,H1,1
STU0278,Student_278,ME,B,1,H1,4
STU0279,Student_279,CE,C,1,Day Scholar,2
STU0280,Student_280,ME,C,7,H2,1
STU0281,Student_281,CE,A,5,H1,2
STU0282,Student_282,CSE,A,7,Day Scholar,2
STU0283,Student_283,ME,B,5,Day Scholar,4
STU0284,Student_284,ME,C,1,H3,1
STU0285,Student_285,ME,A,7,H3,3
STU0286,Student_286,EE,A,5,H1,2
STU0287,Student_287,ME,B,7,H2,1
STU0288,Student_288,ME,C,7,H3,2
STU0289,Student_289,EE,A,7,H3,1
STU0290,Student_290,ME,B,3,H2,3
STU0291,Student_291,CE,A,3,H2,2
STU0292,Student_292,CSE,B,1,H1,3
STU0293,Student_293,EE,A,7,H2,2
STU0294,Student_294,ECE,C,3,Day Scholar,1
STU0295,Student_295,CE,B,3,Day Scholar,3
STU0296,Student_296,CE,A,3,H3,4
STU0297,Student_297,ECE,B,7,Day Scholar,3
STU0298,Student_298,CE,C,7,H2,2
STU0299,Student_299,EE,A,5,H1,4
STU0300,Student_300,ME,C,1,H1,3
STU0301,Student_301,CSE,A,5,Day Scholar,2
STU0302,Student_302,CE,A,3,Day Scholar,3
STU0303,Student_303,CSE,B,1,Day Scholar,3
STU0304,Student_304,ECE,B,1,H3,2
STU0305,Student_305,CSE,B,1,H3,2
STU0306,Student_306,ECE,A,5,Day Scholar,2
STU0307,Student_307,CE,B,1,H1,1
STU0308,Student_308,ME,A,3,Day Scholar,1
STU0309,Student_309,ME,A,5,H1,1
STU0310,Student_310,ECE,B,7,H1,1
STU0311,Student_311,CE,C,1,H2,2
STU0312,Student_312,ME,B,1,H3,2
STU0313,Student_313,EE,B,3,H1,3
STU0314,Student_314,CSE,C,1,Day Scholar,4
STU0315,Student_315,CSE,C,7,H3,3
STU0316,Student_316,CSE,B,1,H3,2
STU0317,Student_317,CSE,C,5,H2,1
STU0318,Student_318,ME,C,5,H2,4
STU0319,Student_319,CE,C,3,H2,1
STU0320,Student_320,CE,A,5,H2,1
STU0321,Student_321,ECE,A,5,H3,4
STU0322,Student_322,EE,B,5,H1,2
STU0323,Student_323,ME,B,1,H3,3
STU0324,Student_324,CSE,B,7,Day Scholar,4
STU0325,Student_325,CE,B,3,Day Scholar,4
STU0326,Student_326,ME,C,5,H1,4
STU0327,Student_327,CSE,B,3,H3,3
STU0328,Student_328,CSE,A,5,H3,3
STU0329,Student_329,CE,C,7,H2,4
STU0330,Student_330,ME,B,1,H3,4
STU0331,Student_331,ME,C,1,H1,4
STU0332,Student_332,ME,C,3,H1,2
STU0333,Student_333,EE,C,7,H1,2
STU0334,Student_334,CSE,A,5,H3,4
STU0335,Student_335,EE,A,3,Day Scholar,3
STU0336,Student_336,ME,B,1,H2,3
STU0337,Student_337,CE,B,5,H2,1
STU0338,Student_338,CSE,C,3,Day Scholar,4
STU0339,Student_339,EE,A,5,H3,4
STU0340,Student_340,ECE,C,5,Day Scholar,2
STU0341,Student_341,CSE,A,1,Day Scholar,2
STU0342,Student_342,CE,A,5,H3,1
STU0343,Student_343,EE,C,5,H3,2
STU0344,Student_344,ECE,B,3,H1,2
STU0345,Student_345,ECE,A,7,H1,3
STU0346,Student_346,EE,C,5,Day Scholar,2
STU0347,Student_347,EE,A,1,H3,4
STU0348,Student_348,CE,C,7,Day Scholar,1
STU0349,Student_349,ECE,B,1,Day Scholar,4
STU0350,Student_350,EE,B,3,H2,2
STU0351,Student_351,CE,C,1,H1,2
STU0352,Student_352,ME,A,3,H3,2
STU0353,Student_353,ME,C,5,H1,3
STU0354,Student_354,ECE,C,5,H2,3
STU0355,Student_355,EE,C,1,H2,2
STU0356,Student_356,ECE,C,5,H1,1
STU0357,Student_357,CSE,A,5,H2,4
STU0358,Student_358,EE,C,1,Day Scholar,3
STU0359,Student_359,ME,B,3,Day Scholar,3
STU0360,Student_360,CE,A,1,H2,4
STU0361,Student_361,CE,B,7,H2,3
STU0362,Student_362,EE,A,5,H3,3
STU0363,Student_363,CE,A,5,H1,3
STU0364,Student_364,ECE,B,1,H3,4
STU0365,Student_365,ECE,A,1,H1,3
STU0366,Student_366,CE,C,7,H2,2
STU0367,Student_367,ME,C,5,H2,2
STU0368,Student_368,CE,C,7,Day Scholar,3
STU0369,Student_369,CE,A,1,Day Scholar,4
STU0370,Student_370,ECE,A,5,H1,1
STU0371,Student_371,ME,B,7,H3,1
STU0372,Student_372,CSE,B,3,H3,3
STU0373,Student_373,CE,B,1,Day Scholar,1
STU0374,Student_374,EE,C,3,H3,3
STU0375,Student_375,CSE,B,7,H3,1
STU0376,Student_376,ECE,A,7,H3,3
STU0377,Student_377,EE,B,3,H2,4
STU0378,Student_378,EE,A,1,H1,2
STU0379,Student_379,ME,B,7,H2,2
STU0380,Student_380,ME,C,5,H2,4
STU0381,Student_381,EE,C,5,H3,4
STU0382,Student_382,EE,B,7,H1,3
STU0383,Student_383,ME,C,1,Day Scholar,3
STU0384,Student_384,CSE,C,7,H3,2
STU0385,Student_385,CSE,C,7,H2,4
STU0386,Student_386,ECE,C,3,H1,1
STU0387,Student_387,ECE,A,7,H3,4
STU0388,Student_388,ECE,B,3,Day Scholar,4
STU0389,Student_389,CSE,C,3,H2,3
STU0390,Student_390,CE,C,7,H3,2
STU0391,Student_391,CE,C,5,H3,3
STU0392,Student_392,EE,B,3,H2,3
STU0393,Student_393,EE,B,3,H3,3
STU0394,Student_394,ECE,C,7,H3,4
STU0395,Student_395,ME,C,5,H3,1
STU0396,Student_396,EE,C,7,Day Scholar,3
STU0397,Student_397,ECE,B,1,H3,1
STU0398,Student_398,ME,B,5,Day Scholar,2
STU0399,Student_399,ECE,C,5,H3,2
STU0400,Student_400,CSE,C,3,H2,1
STU0401,Student_401,EE,A,3,H1,1
STU0402,Student_402,CE,B,7,H1,2
STU0403,Student_403,CSE,C,3,Day Scholar,4
STU0404,Student_404,CE,C,3,H3,3
STU0405,Student_405,ME,C,1,H1,2
STU0406,Student_406,EE,C,1,H2,4
STU0407,Student_407,ECE,A,7,Day Scholar,2
STU0408,Student_408,ME,A,1,H3,1
STU0409,Student_409,ME,B,7,Day Scholar,2
STU0410,Student_410,EE,B,5,H2,1
STU0411,Student_411,ME,A,7,H3,2
STU0412,Student_412,CSE,C,5,H3,2
STU0413,Student_413,ECE,C,7,Day Scholar,3
STU0414,Student_414,CSE,B,1,H2,2
STU0415,Student_415,CE,B,3,H1,3
STU0416,Student_416,CE,A,7,H3,3
STU0417,Student_417,ME,C,1,H3,3
STU0418,Student_418,ECE,A,1,Day Scholar,3
STU0419,Student_419,ECE,B,5,H1,3
STU0420,Student_420,ME,C,3,H2,2
STU0421,Student_421,CE,A,7,H3,4
STU0422,Student_422,EE,B,3,H2,1
STU0423,Student_423,EE,B,5,H1,1
STU0424,Student_424,CSE,C,3,H2,2
STU0425,Student_425,ME,C,7,H1,2
STU0426,Student_426,EE,B,1,Day Scholar,1
STU0427,Student_427,CE,A,7,Day Scholar,1
STU0428,Student_428,EE,B,5,H1,4
STU0429,Student_429,ME,A,3,H1,1
STU0430,Student_430,CE,B,1,H1,1
STU0431,Student_431,CE,A,5,Day Scholar,2
STU0432,Student_432,ECE,C,7,H3,4
STU0433,Student_433,CE,B,7,H1,2
STU0434,Student_434,ME,A,3,Day Scholar,2
STU0435,Student_435,ECE,A,1,H3,4
STU0436,Student_436,EE,B,7,H2,2
STU0437,Student_437,CE,B,3,H3,2
STU0438,Student_438,CSE,A,7,H1,2
STU0439,Student_439,ECE,A,1,H1,4
STU0440,Student_440,EE,C,1,H2,1
STU0441,Student_441,CE,B,3,H2,1
STU0442,Student_442,ECE,C,5,H2,3
STU0443,Student_443,EE,C,5,H2,3
STU0444,Student_444,ECE,C,3,Day Scholar,3
STU0445,Student_445,ME,A,3,Day Scholar,4
STU0446,Student_446,CSE,B,7,H3,4
STU0447,Student_447,CE,A,5,Day Scholar,2
STU0448,Student_448,EE,B,3,H2,3
STU0449,Student_449,ECE,B,1,Day Scholar,4
STU0450,Student_450,EE,C,3,Day Scholar,2
STU0451,Student_451,ME,A,5,H1,4
STU0452,Student_452,ME,A,3,H1,3
STU0453,Student_453,CE,C,1,H1,2
STU0454,Student_454,EE,C,3,Day Scholar,2
STU0455,Student_455,ME,B,1,H2,2
STU0456,Student_456,CSE,C,7,H2,2
STU0457,Student_457,CE,A,5,H3,4
STU0458,Student_458,CE,C,5,H3,3
STU0459,Student_459,ME,C,7,Day Scholar,1
STU0460,Student_460,CE,B,3,H3,3
STU0461,Student_461,CE,A,3,H2,1
STU0462,Student_462,ME,C,7,H3,2
STU0463,Student_463,ECE,B,3,Day Scholar,2
STU0464,Student_464,CE,C,5,H3,4
STU0465,Student_465,CE,B,3,H3,2
STU0466,Student_466,ECE,C,7,H2,1
STU0467,Student_467,EE,A,1,H1,1
STU0468,Student_468,CE,A,3,H1,2
STU0469,Student_469,CSE,A,7,H3,1
STU0470,Student_470,EE,C,7,Day Scholar,1
STU0471,Student_471,CSE,C,7,H1,1
STU0472,Student_472,EE,C,5,H3,1
STU0473,Student_473,EE,C,7,H2,1
STU0474,Student_474,CSE,C,3,H2,2
STU0475,Student_475,EE,C,5,H3,3
STU0476,Student_476,CE,A,5,Day Scholar,4
STU0477,Student_477,EE,A,3,H3,1
STU0478,Student_478,CSE,A,7,Day Scholar,4
STU0479,Student_479,EE,B,1,H1,2
STU0480,Student_480,CSE,B,7,H3,1
STU0481,Student_481,EE,A,3,H2,4
STU0482,Student_482,ME,A,1,H3,1
STU0483,Student_483,ECE,B,1,H2,2
STU0484,Student_484,CE,A,5,H2,2
STU0485,Student_485,EE,B,5,Day Scholar,2
STU0486,Student_486,CSE,C,5,H1,1
STU0487,Student_487,CE,A,1,H3,4
STU0488,Student_488,ME,A,5,Day Scholar,4
STU0489,Student_489,ECE,B,7,Day Scholar,2
STU0490,Student_490,EE,C,7,H1,3
STU0491,Student_491,ECE,C,1,H1,3
STU0492,Student_492,ECE,B,3,Day Scholar,3
STU0493,Student_493,ME,A,1,H1,3
STU0494,Student_494,CE,B,5,H1,2
STU0495,Student_495,CSE,A,7,Day Scholar,4
STU0496,Student_496,CSE,A,1,H3,1
STU0497,Student_497,EE,C,5,Day Scholar,1
STU0498,Student_498,ME,B,7,H1,2
STU0499,Student_499,EE,C,3,Day Scholar,2
STU0500,Student_500,ECE,B,5,H3,4
